10-41#37,681#100010000000111
10-41#37,692#100010000000111
10-41#37,703#100010000000111
10-41#37,714#100010000000111
10-41#37,725#100010000000111
10-41#37,725#100010000000111
10-41#37,725#100010000000111
10-41#37,725#100010000000111
10-41#37,736#100010000000111
10-41#37,747#100010000000111
10-41#37,747#100010000000111
10-41#37,747#100010000000111
10-41#37,747#100010000000111
10-41#37,747#100010000000111
10-41#37,747#100010000000111
10-41#37,758#100010000000111
10-41#37,769#100010000000111
10-42#37,78#100010000000111
10-42#37,78#100010000000111
10-42#37,78#100010000000111
10-42#37,78#100010000000111
10-42#37,78#100010000000111
10-42#37,78#100010000000111
10-42#37,78#100010000000111
10-42#37,79#100010000000111
10-42#37,8#100010000000111
10-42#37,81#100010000000111
10-42#37,82#100010000000111
10-42#37,83#100010000000111
10-42#37,84#100010000000111
10-42#37,85#100010000000111
10-42#37,86#100010000000111
10-42#37,87#100010000000111
10-42#37,88#100010000000111
10-42#37,88#100010000000111
10-42#37,88#100010000000111
10-42#37,88#100010000000111
10-42#37,87#100010000000111
10-42#37,87#100010000000111
10-42#37,87#100010000000111
10-42#37,87#100010000000111
10-42#37,87#100010000000111
10-42#37,87#100010000000111
10-43#37,87#100010000000111
10-43#37,87#100010000000111
10-43#37,87#100010000000111
10-43#37,87#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,88#100010000000111
10-43#37,89#100010000000111
10-43#37,9#100010000000111
10-43#37,9#100010000000111
10-43#37,9#100010000000111
10-43#37,9#100010000000111
10-43#37,9#100010000000111
10-43#37,9#100010000000111
10-44#37,91#100010000000111
10-44#37,92#100010000000111
10-44#37,93#100010000000111
10-44#37,93#100010000000111
10-44#37,93#100010000000111
10-44#37,94#100010000000111
10-44#37,95#100010000000111
10-44#37,96#100010000000111
10-44#37,97#100010000000111
10-44#37,98#100010000000111
10-44#37,98#100010000000111
10-44#37,98#100010000000111
10-44#37,98#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,97#100010000000111
10-44#37,96#100010000000111
10-44#37,95#100010000000111
10-44#37,94#100010000000111
10-45#37,93#100010000000111
10-45#37,92#100010000000111
10-45#37,91#100010000000111
10-45#37,9#100010000000111
10-45#37,89#100010000000111
10-46#37,88#100010000000111
10-46#37,88#100010000000111
10-47#37,88#100010000000111
10-48#37,88#100010000000111
10-48#37,88#100010000000111
10-52#37,88#100010000000111
10-53#37,88#100010000000111
10-53#37,88#100010000000111
10-54#37,88#100010000000111
10-54#37,88#100010000000111
10-59#37,932#100010000000111
10-59#37,994#100010000000111
10-59#38,056#100010000000111
10-59#38,118#100010000000111
10-59#38,18#100010000000111
10-59#38,242#100010000000111
10-59#38,304#100010000000111
11-1#38,429#100010000000111
11-2#38,554#100010000000111
11-2#38,7#100010000000111
11-4#38,794#100010000000111
11-4#38,878#100010000000111
11-4#38,962#100010000000111
11-4#39,046#100010000000111
11-4#39,13#100010000000111
11-5#39,214#100010000000111
11-5#39,277#100010000000111
11-5#39,277#100010000000111
11-6#39,277#100010000000111
11-7#39,256#100010000000111
11-7#39,235#100010000000111
11-8#39,193#100010000000111
11-8#39,151#100010000000111
11-8#39,109#100010000000111
11-8#39,067#100010000000111
11-8#39,025#100010000000111
11-8#38,983#100010000000111
11-8#38,941#100010000000111
11-8#38,899#100010000000111
11-8#38,857#100010000000111
11-8#38,815#100010000000111
11-8#38,794#100010000000111
11-8#38,773#100010000000111
11-8#38,752#100010000000111
11-8#38,731#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,71#100010000000111
11-8#38,7#100010000000111
11-8#38,7#100010000000111
11-8#38,69#100010000000111
11-8#38,68#100010000000111
11-8#38,67#100010000000111
11-8#38,66#100010000000111
11-8#38,65#100010000000111
11-8#38,65#100010000000111
11-9#38,65#100010000000111
11-9#38,65#100010000000111
11-9#38,66#100010000000111
11-9#38,66#100010000000111
